FundName,date,Bid,Ask
Amana Balanced,01-Aug-2014,113.2264,113.2264
,,,
Amana Balanced,04-Aug-2014,112.9054,112.9054
,,,
Amana Balanced,05-Aug-2014,112.8249,112.8249
,,,
Amana Balanced,06-Aug-2014,112.8447,112.8447
,,,
Amana Balanced,07-Aug-2014,113.2574,113.2574
,,,
Amana Balanced,08-Aug-2014,112.4538,112.4538
,,,
Amana Balanced,11-Aug-2014,112.5448,112.5448
,,,
Amana Balanced,12-Aug-2014,112.495,112.495
,,,
Amana Balanced,13-Aug-2014,112.5939,112.5939
,,,
Amana Balanced,14-Aug-2014,112.8516,112.8516
,,,
Amana Balanced,15-Aug-2014,113.2472,113.2472
,,,
Amana Balanced,18-Aug-2014,112.5382,112.5382
,,,
Amana Balanced,19-Aug-2014,112.5753,112.5753
,,,
Amana Balanced,20-Aug-2014,112.5698,112.5698
,,,
Amana Balanced,21-Aug-2014,112.47,112.47
,,,
Amana Balanced,22-Aug-2014,112.5352,112.5352
,,,
Amana Balanced,25-Aug-2014,112.1985,112.1985
,,,
Amana Balanced,26-Aug-2014,112.0544,112.0544
,,,
Amana Balanced,27-Aug-2014,112.0371,112.0371
,,,
Amana Balanced,28-Aug-2014,112.0388,112.0388
,,,
Amana Balanced,29-Aug-2014,112.0133,112.0133
,,,
Amana Balanced,30-Aug-2014,112.1484,112.1484
,,,
Amana Balanced,31-Aug-2014,112.1686,112.1686
,,,
Amana Balanced,01-Sep-2014,112.5027,112.5027
,,,
Amana Balanced,02-Sep-2014,112.8078,112.8078
,,,
Amana Balanced,03-Sep-2014,112.6549,112.6549
,,,
Amana Balanced,04-Sep-2014,112.7066,112.7066
,,,
Amana Balanced,05-Sep-2014,112.5505,112.5505
,,,
Amana Balanced,08-Sep-2014,111.6926,111.6926
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
FundName,,,
,,,
,,,
Amana Balanced,09-Sep-2014,112.4135,112.4135
,,,
Amana Balanced,10-Sep-2014,110.7181,110.7181
,,,
Amana Balanced,11-Sep-2014,113.4634,113.4634
,,,
Amana Balanced,12-Sep-2014,113.4141,113.4141
,,,
Amana Balanced,15-Sep-2014,113.6603,113.6603
,,,
Amana Balanced,16-Sep-2014,113.8949,113.8949
,,,
Amana Balanced,17-Sep-2014,113.8926,113.8926
,,,
Amana Balanced,18-Sep-2014,112.8644,112.8644
,,,
Amana Balanced,19-Sep-2014,113.6293,113.6293
,,,
Amana Balanced,22-Sep-2014,113.8715,113.8715
,,,
Amana Balanced,23-Sep-2014,117.1617,117.1617
,,,
Amana Balanced,24-Sep-2014,113.8795,113.8795
,,,
Amana Balanced,25-Sep-2014,114.0487,114.0487
,,,
Amana Balanced,26-Sep-2014,115.9345,115.9345
,,,
Amana Balanced,29-Sep-2014,115.2603,115.2603
,,,
Amana Balanced,30-Sep-2014,116.6267,116.6267
,,,
Amana Balanced,01-Oct-2014,117.0506,117.0506
,,,
Amana Balanced,02-Oct-2014,116.6602,116.6602
,,,
Amana Balanced,03-Oct-2014,117.2266,117.2266
,,,
Amana Balanced,06-Oct-2014,117.0835,117.0835
,,,
Amana Balanced,07-Oct-2014,114.975,114.975
,,,
Amana Balanced,08-Oct-2014,114.8374,114.8374
,,,
Amana Balanced,09-Oct-2014,116.4041,116.4041
,,,
Amana Balanced,10-Oct-2014,115.4601,115.4601
,,,
Amana Balanced,13-Oct-2014,114.9923,114.9923
,,,
Amana Balanced,14-Oct-2014,105.7096,105.7096
,,,
Amana Balanced,15-Oct-2014,115.6719,115.6719
,,,
Amana Balanced,16-Oct-2014,115.4724,115.4724
,,,
Amana Balanced,17-Oct-2014,115.1386,115.1386
,,,
Amana Balanced,21-Oct-2014,115.1881,115.1881
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
FundName,,,
,,,
,,,
Amana Balanced,22-Oct-2014,115.3056,115.3056
,,,
Amana Balanced,23-Oct-2014,115.3458,115.3458
,,,
Amana Balanced,24-Oct-2014,115.3395,115.3395
,,,
Amana Balanced,27-Oct-2014,115.0359,115.0359
,,,
Amana Balanced,28-Oct-2014,115.0483,115.0483
,,,
Amana Balanced,29-Oct-2014,115.1092,115.1092
,,,
Amana Balanced,30-Oct-2014,115.1535,115.1535
,,,
Amana Balanced,31-Oct-2014,115.2219,115.2219
,,,
Amana Balanced,03-Nov-2014,115.6535,115.6535
,,,
Amana Balanced,04-Nov-2014,115.5712,115.5712
,,,
Amana Balanced,05-Nov-2014,115.7637,115.7637
,,,
Amana Balanced,06-Nov-2014,118.292,118.292
,,,
Amana Balanced,07-Nov-2014,118.3586,118.3586
,,,
Amana Balanced,10-Nov-2014,117.3864,117.3864
,,,
Amana Balanced,11-Nov-2014,118.2241,118.2241
,,,
Amana Balanced,12-Nov-2014,118.6294,118.6294
,,,
Amana Balanced,13-Nov-2014,118.6309,118.6309
,,,
Amana Balanced,14-Nov-2014,119.2284,119.2284
,,,
Amana Balanced,17-Nov-2014,119.2929,119.2929
,,,
Amana Balanced,18-Nov-2014,118.0757,118.0757
,,,
Amana Balanced,19-Nov-2014,117.3795,117.3795
,,,
Amana Balanced,20-Nov-2014,117.3569,117.3569
,,,
Amana Balanced,21-Nov-2014,118.1436,118.1436
,,,
Amana Balanced,24-Nov-2014,118.3374,118.3374
,,,
Amana Balanced,25-Nov-2014,118.3529,118.3529
,,,
Amana Balanced,26-Nov-2014,118.9284,118.9284
,,,
