FundName,date,Bid ,Offer
Amana Growth, 01-Aug-2014,110.9895,110.9895
Amana Growth, 04-Aug-2014,111.2177,111.2177
Amana Growth, 05-Aug-2014,111.1532,111.1532
Amana Growth, 06-Aug-2014,111.3487,111.3487
Amana Growth, 07-Aug-2014,111.7383,111.7383
Amana Growth, 08-Aug-2014,111.3819,111.3819
Amana Growth, 11-Aug-2014,111.2565,111.2565
Amana Growth, 12-Aug-2014,111.2737,111.2737
Amana Growth, 13-Aug-2014,111.3567,111.3567
Amana Growth, 14-Aug-2014,111.6038,111.6038
Amana Growth, 15-Aug-2014,111.7253,111.7253
Amana Growth, 18-Aug-2014,110.8549,110.8549
Amana Growth, 19-Aug-2014,110.8249,110.8249
Amana Growth, 20-Aug-2014,110.7636,110.7636
Amana Growth, 21-Aug-2014,110.82,110.82
Amana Growth, 22-Aug-2014,111.0387,111.0387
Amana Growth, 25-Aug-2014,110.9981,110.9981
Amana Growth, 26-Aug-2014,111.2398,111.2398
Amana Growth, 27-Aug-2014,111.1656,111.1656
Amana Growth, 28-Aug-2014,111.1252,111.1252
Amana Growth, 29-Aug-2014,111.2089,111.2089
Amana Growth, 30-Aug-2014,111.3921,111.3921
Amana Growth, 31-Aug-2014,111.4117,111.4117
Amana Growth, 01-Sep-2014,111.6549,111.6549
Amana Growth, 02-Sep-2014,111.9705,111.9705
Amana Growth, 03-Sep-2014,111.7784,111.7784
Amana Growth, 04-Sep-2014,112.1267,112.1267
Amana Growth, 05-Sep-2014,111.6787,111.6787
Amana Growth, 08-Sep-2014,111.4117,111.4117
Amana Growth, 09-Sep-2014,111.5989,111.5989
Amana Growth, 10-Sep-2014,112.1489,112.1489
Amana Growth, 11-Sep-2014,111.9369,111.9369
Amana Growth, 12-Sep-2014,111.7016,111.7016
Amana Growth, 15-Sep-2014,111.558,111.558
Amana Growth, 16-Sep-2014,111.9244,111.9244
Amana Growth, 17-Sep-2014,111.9161,111.9161
Amana Growth, 18-Sep-2014,111.5356,111.5356
Amana Growth, 19-Sep-2014,111.4945,111.4945
Amana Growth, 22-Sep-2014,111.6281,111.6281
Amana Growth, 23-Sep-2014,112.6226,112.6226
Amana Growth, 24-Sep-2014,111.2402,111.2402
Amana Growth, 25-Sep-2014,111.2787,111.2787
Amana Growth, 26-Sep-2014,111.6548,111.6548
Amana Growth, 29-Sep-2014,111.8188,111.8188
Amana Growth, 30-Sep-2014,111.8519,111.8519
Amana Growth, 01-Oct-2014,111.9798,111.9798
Amana Growth, 02-Oct-2014,111.5524,111.5524
Amana Growth, 03-Oct-2014,112.1548,112.1548
Amana Growth, 06-Oct-2014,112.0556,112.0556
Amana Growth, 07-Oct-2014,112.2537,112.2537
Amana Growth, 08-Oct-2014,112.1042,112.1042
Amana Growth, 09-Oct-2014,113.4763,113.4763
Amana Growth, 10-Oct-2014,114.508,114.508
Amana Growth, 13-Oct-2014,114.3865,114.3865
Amana Growth, 14-Oct-2014,115.4336,115.4336
Amana Growth, 15-Oct-2014,115.2723,115.2723
Amana Growth, 16-Oct-2014,114.5746,114.5746
Amana Growth, 17-Oct-2014,114.0414,114.0414
Amana Growth, 21-Oct-2014,114.0477,114.0477
Amana Growth, 22-Oct-2014,114.3537,114.3537
Amana Growth, 23-Oct-2014,114.7061,114.7061
Amana Growth, 24-Oct-2014,112.7499,112.7499
Amana Growth, 27-Oct-2014,112.4719,112.4719
Amana Growth, 28-Oct-2014,112.3677,112.3677
Amana Growth, 29-Oct-2014,112.5884,112.5884
Amana Growth, 30-Oct-2014,113.7187,113.7187
Amana Growth, 31-Oct-2014,112.2714,112.2714
Amana Growth, 03-Nov-2014,112.6484,112.6484
Amana Growth, 04-Nov-2014,112.2727,112.2727
Amana Growth, 05-Nov-2014,113.4175,113.4175
Amana Growth, 06-Nov-2014,114.8101,114.8101
Amana Growth, 07-Nov-2014,114.7134,114.7134
Amana Growth, 10-Nov-2014,113.7181,113.7181
Amana Growth, 11-Nov-2014,113.7818,113.7818
Amana Growth, 12-Nov-2014,114.275,114.275
Amana Growth, 13-Nov-2014,114.9458,114.9458
Amana Growth, 14-Nov-2014,115.4371,115.4371
Amana Growth, 17-Nov-2014,115.4839,115.4839
Amana Growth, 18-Nov-2014,114.8427,114.8427
Amana Growth, 19-Nov-2014,114.76,114.76
Amana Growth, 20-Nov-2014,114.7151,114.7151
Amana Growth, 21-Nov-2014,115.416,115.416
Amana Growth, 24-Nov-2014,115.8305,115.8305
Amana Growth, 25-Nov-2014,115.843,115.843
Amana Growth, 26-Nov-2014,116.5831,116.5831
Amana Growth, 27-Nov-2014,116.5979,116.5979
Amana Growth, 28-Nov-2014,115.7284,115.7284
Amana Growth, 29-Nov-2014,115.2256,115.2256
Amana Growth, 30-Nov-2014,115.1582,115.1582
Amana Growth, 01-Dec-2014,116.4906,116.4906
Amana Growth, 02-Dec-2014,116.4217,116.4217
Amana Growth, 03-Dec-2014,115.8759,115.8759
Amana Growth, 04-Dec-2014,115.6347,115.6347
Amana Growth, 05-Dec-2014,116.3703,116.3703
Amana Growth, 08-Dec-2014,116.3734,116.3734
Amana Growth, 09-Dec-2014,116.7446,116.7446
Amana Growth, 10-Dec-2014,116.3251,116.3251
Amana Growth, 11-Dec-2014,115.5556,115.5556
Amana Growth, 15-Dec-2014,123.7111,123.7111
Amana Growth, 16-Dec-2014,115.1366,115.1366
Amana Growth, 17-Dec-2014,115.3382,115.3382
Amana Growth, 18-Dec-2014,115.4528,115.4528
Amana Growth, 19-Dec-2014,115.467,115.467
Amana Growth, 22-Dec-2014,115.4227,115.4227
Amana Growth, 31-Dec-2014,114.5221,114.5221
Amana Growth, 02-Jan-2015,115.162,115.162
Amana Growth, 05-Jan-2015,114.7571,114.7571
Amana Growth, 06-Jan-2015,115.6613,115.6613
Amana Growth, 07-Jan-2015,117.3,117.3
Amana Growth, 08-Jan-2015,116.3721,116.3721
Amana Growth, 09-Jan-2015,116.0724,116.0724
Amana Growth, 12-Jan-2015,118.1694,118.1694
Amana Growth, 13-Jan-2015,118.5435,118.5435
Amana Growth, 14-Jan-2015,119.1241,119.1241
Amana Growth, 15-Jan-2015,119.2404,119.2404
